review_clean,sentiment_vader,sentiment_roberta,confidence_roberta,source_clean
Loved it! TIP: The boating ticket kiosk sucks big time so would recommend renting the self kayak if you can.,Positif,Négatif,0.3916,Réel
"Pokhara lake is beautiful, boating is available and in reasonable rate. But there is no place for shopping as products are more costly here",Négatif,Neutre,0.3649,Réel
It's a nice place for relaxation... When u get tired after ur work u can visit there after... I had been there for several time and all the time was an amazing....,Neutre,Positif,0.9647,Réel
It's a nice place for relaxation... When u get tired after ur work u can visit there after... I had been there for several time and all the time was an amazing....,Neutre,Positif,0.9647,Réel
Visit Pewa Paradise Restaurants Folk Nepali songs …,Positif,Neutre,0.6777,Réel
Well maintained park alongside fewa lake. But too many hotels and restaurants has degraded the beauty of lake.,Positif,Négatif,0.597,Réel
"It's just like paradise , I accept "" heaven is a myth but nepal is real"".",Positif,Neutre,0.5325,Réel
"#Nice experience.. Enjoying😊🛣 #Phewa Lake, Phewa Tal or Fewa Lake is a freshwater lake in Nepal formerly …",Neutre,Positif,0.9618,Réel
Very gud deva lake ...Great experience.having here,Neutre,Positif,0.9812,Réel
"Little crowdy, no much water sports, only boat riding, many street foods available",Négatif,Neutre,0.6398,Réel
"POKHARA LAKE SIDE FALLS IN ONE OF THE MOST IMPORTANT RAMSAAR (WETLAND) SIDE OF NEPAL ,FILLED WITH BIOTIC DIVERSITY, •IT IS FAMOUS FOR BOATING …",Positif,Neutre,0.6587,Réel
It's okay but at the ticket counter they would not give u the options for a whole lake tour,Positif,Neutre,0.5058,Réel
Fun boating! Though the boatsman cut down our duration for no reason.,Négatif,Positif,0.7677,Réel
Reach before 6PM Don't miss the Aarti Do the boating,Positif,Neutre,0.5844,Réel
"It was my 5th visit. Place is cool and amazing, but food and beverages are too much expensive if, compared with previous visit. Precautions: please avoid to visit Punjabi Restaurant as staff are not coperative and serves food are not at all recommendable.",Positif,Négatif,0.5231,Réel
Makes you feel you are in heaven:),Neutre,Positif,0.9773,Réel
Stop wasting your time.... You must visit 😊😊😊😘,Négatif,Positif,0.7456,Réel
Well the vendors are ripping people off. Be aware of high charging food and juice stalls. Best to visit during monsoon for the real beauty of lake.,Positif,Négatif,0.7432,Réel
"Lakeside is a popular tourist destination beside Phewa Tal (lake) in Nepal's second largest city Pokhara. The main areas of Pokhara are broken up into Lakeside, Damside and the old Pokhara. Within Lakeside there's now a north Lakeside and a …",Négatif,Neutre,0.5821,Réel
"Phewa lake side, Pokhara. It's a must visit destination in pokhara. U can have boating here.",Neutre,Positif,0.9562,Réel
"I had never seen such beautiful & clean lake before ,The views are missmarising & which becomes more beautiful with mountains.",Négatif,Positif,0.956,Réel
The last time I visited Pokhara was in 1988! so it's obviously changed a lot and perhaps not all for the better. Many hotels and restaurants have sprung up with no doubt more to come to cater for expected higher number of visitors once the …,Négatif,Neutre,0.615,Réel
"this Fewa lake is only the tourist attaraction in pokhara. built bt Fewa dam this lake is huge like lake in bhopal, MP. the touring rates are high here. jalkumbhi in the lake reduces the view of lake from near. people come here to drink …",Positif,Neutre,0.7498,Réel
