ID,location,total_review,review,source,is_synthetic,source_clean,review_length_chars,review_length_words,has_emoji,has_excessive_caps,unique_words_ratio,review_clean,review_length_chars_clean,review_length_words_clean,sentiment_vader,score_vader
1,Pokhara,4 reviews,"Amazing place to chill out. Nice restaurants near lakeside where you can sit ,have beer and snacks with lakeside view. You can also take boat rides on hourly charges. There's a temple also few meters inside the lake, where you can halt and spend time. Best tourist attraction. Wonderful location.",real,False,Réel,296,50,False,False,0.84,"Amazing place to chill out. Nice restaurants near lakeside where you can sit ,have beer and snacks with lakeside view. You can also take boat rides on hourly charges. There's a temple also few meters inside the lake, where you can halt and spend time. Best tourist attraction. Wonderful location.",296,50,Positif,0.9468
2,Pokhara,87 reviews,Best place in Pokhara to enjoy any time of the day with scenic view of the mountains. Lake side restaurant are popular for dinner plans. Boating in lake is very soothing and peaceful. Both peddle boat and rowing boat is available from cost …,real,False,Réel,241,44,False,False,0.8409090909090909,Best place in Pokhara to enjoy any time of the day with scenic view of the mountains. Lake side restaurant are popular for dinner plans. Boating in lake is very soothing and peaceful. Both peddle boat and rowing boat is available from cost …,241,44,Positif,0.9456
3,Pokhara,24 reviews,"Enjoying boating with awesome scene of nature, pokhara Lakeside the the one of the best lake to witness such thing. Mountain ranges on the one side where as forest in the other, moreover a temple in the middle of the lake. What could we …",real,False,Réel,238,45,False,False,0.7777777777777778,"Enjoying boating with awesome scene of nature, pokhara Lakeside the the one of the best lake to witness such thing. Mountain ranges on the one side where as forest in the other, moreover a temple in the middle of the lake. What could we …",238,45,Positif,0.9136
4,Pokhara,83 reviews,So beautiful. Glad I went. It wasn’t like the photos show with the Himalayas — there was too much haze. I really recommend taking a boat. A very nice stroll. Would be a good place to run if you remember to pack shoes :),real,False,Réel,219,44,False,False,0.8863636363636364,So beautiful. Glad I went. It wasn’t like the photos show with the Himalayas — there was too much haze. I really recommend taking a boat. A very nice stroll. Would be a good place to run if you remember to pack shoes :),219,44,Positif,0.9672
5,Pokhara,76 reviews,"This is such an astounding place. If you want a place to relax, Pokhara is the place for it. As for the Lakeside, you can go boating, kayaking. …",real,False,Réel,145,29,False,False,0.8275862068965517,"This is such an astounding place. If you want a place to relax, Pokhara is the place for it. As for the Lakeside, you can go boating, kayaking. …",145,29,Positif,0.7184
6,Pokhara,16 reviews,Fantastic place ....i visited in April starting. There was weather like Indian summer season in day but night little bit cold 🌃. Most attractive was evening time. If you have time then must enjoy morning plane view.,real,False,Réel,217,37,True,False,0.945945945945946,Fantastic place ....i visited in April starting. There was weather like Indian summer season in day but night little bit cold 🌃. Most attractive was evening time. If you have time then must enjoy morning plane view.,215,37,Positif,0.9125
7,Pokhara,33 reviews,"This lake side is commonly called Fewa lake. You can see the beauty of mountain and lake together. At the bank of it you will find plethora of hotels and luxury hotels offering different delicious meals. In simple terms, you will love the …",real,False,Réel,241,44,False,False,0.7727272727272727,"This lake side is commonly called Fewa lake. You can see the beauty of mountain and lake together. At the bank of it you will find plethora of hotels and luxury hotels offering different delicious meals. In simple terms, you will love the …",240,44,Positif,0.9136
8,Pokhara,76 reviews,Beautiful view of Himalayan hemlet. Boating is an activity you must try. Surreal view from lake and night life around this area is perfect for your holiday or day picnic.,real,False,Réel,170,30,False,False,0.9333333333333332,Beautiful view of Himalayan hemlet. Boating is an activity you must try. Surreal view from lake and night life around this area is perfect for your holiday or day picnic.,170,30,Positif,0.8834
9,Pokhara,13 reviews,"A very beautiful place to visit. A long way to walk, spend time and enjoy the lakeside view along with mount Himalayas range. The vast lake with island at the middle is also fascinating. Boat ride from the shore of lake can be rented for hours.",real,False,Réel,246,46,False,False,0.8478260869565217,"A very beautiful place to visit. A long way to walk, spend time and enjoy the lakeside view along with mount Himalayas range. The vast lake with island at the middle is also fascinating. Boat ride from the shore of lake can be rented for hours.",244,46,Positif,0.8977
10,Pokhara,84 reviews,You can see the most beautiful sunset and there are so many places to eat. This is the best way to look at the beautiful lake and mountain with delicious food.,real,False,Réel,159,31,False,False,0.8387096774193549,You can see the most beautiful sunset and there are so many places to eat. This is the best way to look at the beautiful lake and mountain with delicious food.,159,31,Positif,0.9537
11,Pokhara,26 reviews,"This is such an astounding place. If you want an adventure or a place to relax, Pokhara is the place for it. As for the Lakeside, you can go boating, kayaking, skating. There are numerous things to try in terms of food. One of the best …",real,False,Réel,237,47,False,False,0.8085106382978723,"This is such an astounding place. If you want an adventure or a place to relax, Pokhara is the place for it. As for the Lakeside, you can go boating, kayaking, skating. There are numerous things to try in terms of food. One of the best …",237,47,Positif,0.91
12,Pokhara,512 reviews,It is a peaceful place. Early morning walk will be more pleasant. It is also close to a lot of restaurants with all kinds of food and has shops for souvenirs. There is also boating available. Mostly pedal boats.,real,False,Réel,211,39,False,False,0.8461538461538461,It is a peaceful place. Early morning walk will be more pleasant. It is also close to a lot of restaurants with all kinds of food and has shops for souvenirs. There is also boating available. Mostly pedal boats.,211,39,Positif,0.7778
